time ,power
182160,6649.8081
182190,6645.0654
182220,6637.2749
182250,6635.15845
182280,6633.042
182310,6638.9414
182340,6629.9971
182370,6610.1147
182400,6607.5747
182430,6619.1196
182460,6617.1548
182490,6617.2886
182520,6608.1948
182550,6611.5835
182580,6056.1777
182610,6047.3037
182640,6051.7207
182670,6053.0137
182700,6052.479
182730,6054.814
182760,6050.5259
182790,6051.9609
182820,6047.3555
182850,6043.4697
182880,6045.3081
182910,6050.4658
182940,6041.8867
182970,6033.5781
183000,6026.7583
183030,6030.30955
183060,6033.8608
183090,6024.3682
183120,6030.9609
183150,6031.2217
183180,6027.104
183210,6027.291
183240,6020.8584
183270,6028.6362
183300,6026.7861
183330,6018.4434
183360,6020.0376
183390,6021.7979
183420,6019.9678
183450,6015.3042
183480,6019.7017
183510,6031.6768
183540,6034.9111
183570,6031.7769
183600,6037.5703
183630,6036.502
183660,6095.0005
183690,6087.4575
183720,6085.8242
183750,6085.604
183780,6074.8989
183810,6076.7949
183840,6079.152833
183870,6081.510767
183900,6083.8687
183930,6093.8833
183960,6092.415
183990,6085.7593
184020,6085.8994
184050,6081.3379
184080,6084.2808
184110,6083.5562
184140,6077.8232
184170,6080.34715
184200,6082.8711
184230,6086.4697
184260,6087.8237
184290,6081.3438
184320,6075.6655
184350,6089.0234
184380,6081.9106
184410,6077.1001
184440,6077.5503
184470,6438.4854
184500,6420.9937
184530,6418.4229
184560,6420.8599
184590,6410.8887
184620,6406.7207
184650,6395.396
184680,6394.0313
184710,6399.0293
184740,6392.6709
184770,6402.105
184800,6405.5542
184830,6401.0259
184860,6392.3438
184890,6391.5942
184920,6407.7368
184950,6399.3574
184980,7187.8159
185010,7194.1978
185040,7163.8477
185070,6399.4727
185100,6402.1895
185130,7201.606
185160,7203.0684
185190,6397.2241
185220,7202.7969
185250,6401.2183
185280,7217.8252
185310,7233.2241
185340,7228.0679
185370,7240.9443
185400,7246.2383
185430,6462.27
185460,6455.1367
185490,6454.8237
185520,6458.0586
185550,6453.3877
185580,6454.106
185610,8024.5356
185640,7809.5547
185670,7713.6353
185700,7663.8472
185730,7678.5654
185760,7667.2715
185790,7673.9219
185820,7695.3052
185850,7691.0645
185880,7694.84695
185910,7698.6294
185940,7714.7998
185970,7734.1528
186000,7735.645
186030,7747.6318
186060,7741.3462
186090,7751.853
186120,7752.6279
186150,7765.4814
186180,7769.0117
186210,7766.8687
186240,7743.2656
186270,7749.3594
186300,7749.0967
186330,7753.4502
186360,7766.9199
186390,7767.6348
186420,7769.917
186450,7768.3691
186480,7767.2583
186510,7759.3999
186540,7765.9409
186570,7765.2036
186600,7777.3569
186630,7779.1416
186660,7780.6421
186690,7779.7056
186720,7781.5825
